scene_name,img_path,rule,query,object_name,grounded,touching,rays,pointing,bounding_box_min_x,bounding_box_min_y,bounding_box_min_z,bounding_box_max_x,bounding_box_max_y,bounding_box_max_z,world_pos_x,world_pos_y,world_pos_z
0_0,output/0/0_0.png,A structure must contain an odd number of pyramid pieces or an odd number of total pieces.,"generate_valid_structure([or([odd_number_of(pyramid, Structure), odd_number_of(Structure)])], Structure)",0_Wedge_blue_cheesecake,True,"{'left': None, 'right': None, 'front': None, 'back': None, 'top': None, 'bottom': None}",[],,-1.0,-2.0,1.6996149554415751e-07,1.0,2.0,2.000000238418579,0.0,0.0,1.000000238418579
0_1,output/0/0_1.png,A structure must contain an odd number of pyramid pieces or an odd number of total pieces.,"generate_valid_structure([or([odd_number_of(pyramid, Structure), odd_number_of(Structure)])], Structure)",3_Pyramid_yellow_flat,True,"{'left': '2_Pyramid_red_flat', 'right': '1_Pyramid_blue_upright', 'front': None, 'back': None, 'top': None, 'bottom': None}",[],,-2.1981608867645264,-1.0000001192092896,-1.7881393432617188e-07,1.9225233793258667,1.0000004768371582,2.063812255859375,0.0,0.0,0.5512751936912537
0_1,output/0/0_1.png,A structure must contain an odd number of pyramid pieces or an odd number of total pieces.,"generate_valid_structure([or([odd_number_of(pyramid, Structure), odd_number_of(Structure)])], Structure)",0_Block_blue_upside_down,True,"{'left': None, 'right': None, 'front': None, 'back': None, 'top': None, 'bottom': None}",[],,2.741727590560913,-6.218657970428467,-8.742279788975793e-08,4.741727828979492,-4.218657493591309,4.0,3.741727590560913,-5.218657493591309,1.8287760019302368
0_1,output/0/0_1.png,A structure must contain an odd number of pyramid pieces or an odd number of total pieces.,"generate_valid_structure([or([odd_number_of(pyramid, Structure), odd_number_of(Structure)])], Structure)",2_Pyramid_red_flat,True,"{'left': None, 'right': '3_Pyramid_yellow_flat', 'front': None, 'back': None, 'top': None, 'bottom': None}",[],,-1.0,-4.8806843757629395,-1.1920928955078125e-07,1.0,-0.7600002288818359,2.063812255859375,0.0,-2.9581611156463623,0.5512751936912537
0_1,output/0/0_1.png,A structure must contain an odd number of pyramid pieces or an odd number of total pieces.,"generate_valid_structure([or([odd_number_of(pyramid, Structure), odd_number_of(Structure)])], Structure)",1_Pyramid_blue_upright,True,"{'left': '3_Pyramid_yellow_flat', 'right': None, 'front': None, 'back': None, 'top': None, 'bottom': None}",[],,-1.0,0.7600002288818359,0.0,1.0,2.760000228881836,4.0,0.0,1.760000228881836,2.0
0_2,output/0/0_2.png,A structure must contain an odd number of pyramid pieces or an odd number of total pieces.,"generate_valid_structure([or([odd_number_of(pyramid, Structure), odd_number_of(Structure)])], Structure)",0_Block_blue_flat,True,"{'left': None, 'right': None, 'front': None, 'back': None, 'top': None, 'bottom': None}",[],,-2.1712238788604736,-1.0000001192092896,1.641007543184969e-07,1.8287757635116577,0.9999998807907104,2.000000238418579,0.0,0.0,1.0000003576278687
0_3,output/0/0_3.png,A structure must contain an odd number of pyramid pieces or an odd number of total pieces.,"generate_valid_structure([or([odd_number_of(pyramid, Structure), odd_number_of(Structure)])], Structure)",0_Block_red_upright,True,"{'left': None, 'right': None, 'front': None, 'back': None, 'top': None, 'bottom': None}",[],,-0.9999999403953552,-0.9999998807907104,2.384185791015625e-07,1.0000001192092896,1.0000001192092896,4.0,0.0,0.0,2.1712241172790527
0_4,output/0/0_4.png,A structure must contain an odd number of pyramid pieces or an odd number of total pieces.,"generate_valid_structure([or([odd_number_of(pyramid, Structure), odd_number_of(Structure)])], Structure)",1_Pyramid_blue_upright,True,"{'left': None, 'right': '2_Wedge_blue_upright', 'front': None, 'back': None, 'top': None, 'bottom': None}",[],,4.450838088989258,-4.2167863845825195,0.0,6.450838088989258,-2.2167861461639404,4.0,5.450838088989258,-3.2167861461639404,2.0
0_4,output/0/0_4.png,A structure must contain an odd number of pyramid pieces or an odd number of total pieces.,"generate_valid_structure([or([odd_number_of(pyramid, Structure), odd_number_of(Structure)])], Structure)",0_Pyramid_blue_upright,True,"{'left': None, 'right': None, 'front': None, 'back': None, 'top': None, 'bottom': None}",[],,0.06400283426046371,-7.091956615447998,0.0,2.0640029907226562,-5.091956615447998,4.0,1.0640028715133667,-6.091956615447998,2.0
0_4,output/0/0_4.png,A structure must contain an odd number of pyramid pieces or an odd number of total pieces.,"generate_valid_structure([or([odd_number_of(pyramid, Structure), odd_number_of(Structure)])], Structure)",2_Wedge_blue_upright,True,"{'left': '1_Pyramid_blue_upright', 'right': None, 'front': None, 'back': None, 'top': None, 'bottom': None}",[],,4.450838088989258,-2.2067859172821045,0.0,6.450838088989258,-0.2067859172821045,4.0,5.450838088989258,-1.2067859172821045,2.0
0_5,output/0/0_5.png,A structure must contain an odd number of pyramid pieces or an odd number of total pieces.,"generate_valid_structure([or([odd_number_of(pyramid, Structure), odd_number_of(Structure)])], Structure)",1_Block_red_upside_down,True,"{'left': None, 'right': None, 'front': None, 'back': None, 'top': None, 'bottom': '0_Pyramid_yellow_upside_down'}",[],,-1.0,-1.000000238418579,-0.6287762522697449,1.000000238418579,1.0000001192092896,3.3712239265441895,2.9476757152361492e-15,6.993823120637899e-08,1.1999998092651367
0_5,output/0/0_5.png,A structure must contain an odd number of pyramid pieces or an odd number of total pieces.,"generate_valid_structure([or([odd_number_of(pyramid, Structure), odd_number_of(Structure)])], Structure)",0_Pyramid_yellow_upside_down,True,"{'left': None, 'right': None, 'front': None, 'back': None, 'top': '1_Block_red_upside_down', 'bottom': None}",[],,-1.0000001192092896,-1.000000238418579,-2.384185791015625e-07,1.0000001192092896,0.9999998807907104,4.000000476837158,0.0,0.0,2.0
0_6,output/0/0_6.png,A structure must contain an odd number of pyramid pieces or an odd number of total pieces.,"generate_valid_structure([or([odd_number_of(pyramid, Structure), odd_number_of(Structure)])], Structure)",1_Wedge_red_flat,True,"{'left': '0_Pyramid_red_upright', 'right': None, 'front': None, 'back': None, 'top': None, 'bottom': None}",[],,-1.94059157371521,-1.0000001192092896,-2.3314683517128287e-15,2.182513475418091,1.0000001192092896,1.9405914545059204,0.0,0.0,0.4864521622657776
0_6,output/0/0_6.png,A structure must contain an odd number of pyramid pieces or an odd number of total pieces.,"generate_valid_structure([or([odd_number_of(pyramid, Structure), odd_number_of(Structure)])], Structure)",0_Pyramid_red_upright,True,"{'left': None, 'right': '1_Wedge_red_flat', 'front': None, 'back': None, 'top': None, 'bottom': None}",[],,-1.0,-3.009999990463257,0.0,1.0,-1.0099999904632568,4.0,0.0,-2.009999990463257,2.0
0_7,output/0/0_7.png,A structure must contain an odd number of pyramid pieces or an odd number of total pieces.,"generate_valid_structure([or([odd_number_of(pyramid, Structure), odd_number_of(Structure)])], Structure)",0_Wedge_blue_upright,True,"{'left': None, 'right': None, 'front': None, 'back': None, 'top': None, 'bottom': None}",[],,-1.0,-1.0,0.0,1.0,1.0,4.0,0.0,0.0,2.0
